Date,Buy,Sell
2024-01-01,42.2320,42.2499
2024-01-02,41.7985,41.8107
2024-01-03,41.6434,41.6559
2024-01-04,41.7846,41.8060
2024-01-05,41.7666,41.8175
2024-01-08,41.8633,41.9291
2024-01-09,41.6861,41.7513
2024-01-10,41.5194,41.7230
2024-01-11,41.4208,41.5628
2024-01-12,41.5664,41.6209
2024-01-15,41.4706,41.5286
2024-01-16,41.2309,41.2592
2024-01-17,41.0417,41.1139
2024-01-18,40.9025,40.9129
2024-01-19,40.8108,40.8234
2024-01-22,40.7541,40.7864
2024-01-23,40.6444,40.6624
2024-01-24,40.8542,40.8790
2024-01-25,40.8557,40.8624
2024-01-26,41.0493,41.0890
2024-01-29,40.9012,40.9185
2024-01-30,40.8502,40.9224
2024-01-31,40.8187,40.8581
2024-02-01,40.7000,40.7600
2024-02-02,40.5013,40.5354
2024-02-05,40.3759,40.4044
2024-02-06,40.3716,40.4038
2024-02-07,40.4962,40.5027
2024-02-08,40.4171,40.4274
2024-02-09,40.6950,40.7052
2024-02-12,40.8943,40.9228
2024-02-13,40.9082,40.9182
2024-02-14,40.7315,40.8279
2024-02-15,40.8023,40.8124
2024-02-16,41.0088,41.0726
2024-02-19,41.2106,41.2283
2024-02-20,41.7875,41.8069
2024-02-21,41.7636,41.7814
2024-02-22,41.5271,41.5843
2024-02-23,41.4132,41.4635
2024-02-26,41.6493,41.6594
2024-02-27,41.4413,41.4700
2024-02-28,41.3473,41.3683
2024-02-29,41.2587,41.2652
2024-03-01,41.2382,41.2521
2024-03-04,41.6123,41.6225
2024-03-05,41.6253,41.6664
2024-03-06,41.6106,41.6171
2024-03-07,41.5375,41.5424
2024-03-08,41.8376,41.8700
2024-03-11,41.9230,41.9443
2024-03-12,42.1075,42.1357
2024-03-13,42.4962,42.5026
2024-03-14,42.1425,42.1527
2024-03-15,42.2384,42.2563
2024-03-18,42.4336,42.4693
2024-03-19,42.5216,42.5316
2024-03-20,42.3312,42.4072
2024-03-21,42.2688,42.3449
2024-03-22,42.3230,42.3515
2024-03-25,42.5726,42.5972
2024-03-26,42.4000,42.4099
2024-03-27,42.5580,42.5707
2024-03-28,42.2643,42.3036
2024-03-29,42.0813,42.1151
2024-04-01,42.2056,42.2301
2024-04-02,42.3279,42.3455
2024-04-03,42.2482,42.2659
2024-04-04,42.3573,42.3999
2024-04-05,41.9573,41.9819
2024-04-08,42.2832,42.3119
2024-04-09,42.3045,42.4529
2024-04-10,41.9992,42.0012
2024-04-11,42.1670,42.1846
2024-04-12,41.9866,42.0039
2024-04-15,42.1146,42.1358
2024-04-16,42.0535,42.0629
2024-04-17,42.1715,42.1888
2024-04-18,42.2032,42.2232
2024-04-19,42.5719,42.6026
2024-04-22,42.2342,42.2515
2024-04-23,42.3571,42.3692
2024-04-24,42.3201,42.3335
2024-04-25,42.2943,42.3224
2024-04-26,42.4826,42.4960
2024-04-29,42.3010,42.3494
2024-04-30,42.3878,42.4480
2024-05-01,42.2872,42.3288
2024-05-02,42.1962,42.2136
2024-05-03,42.4045,42.4369
2024-05-06,42.3713,42.3811
2024-05-07,42.2909,42.3075
2024-05-08,42.3413,42.3725
2024-05-09,42.7058,42.7370
2024-05-10,42.6352,42.6812
2024-05-13,42.8821,42.9095
2024-05-14,42.8728,42.9070
2024-05-15,42.8000,42.8300
2024-05-16,42.7084,42.7183
2024-05-17,42.9068,42.9167
2024-05-20,43.1133,43.1271
2024-05-21,43.1638,43.1858
2024-05-22,43.1608,43.1922
2024-05-23,43.3263,43.3576
2024-05-24,43.5292,43.5591
2024-05-27,43.7388,43.7524
2024-05-28,43.9203,43.9448
2024-05-29,43.8965,43.9020
2024-05-30,44.0022,44.0442
2024-05-31,44.0778,44.1091
2024-06-03,43.8746,43.8882
2024-06-04,43.7328,43.7682
2024-06-05,43.6568,43.6774
2024-06-06,43.7015,43.7167
2024-06-07,43.5220,43.5492
2024-06-10,43.5024,43.5184
2024-06-11,43.4429,43.4696
2024-06-12,43.9304,43.9575
2024-06-13,44.0016,44.0150
2024-06-14,43.3898,43.4269
2024-06-17,43.5472,43.5524
2024-06-18,43.6060,43.6287
2024-06-19,43.5360,43.5521
2024-06-20,43.3611,43.3852
2024-06-21,43.1887,43.1980
2024-06-24,43.6273,43.6366
2024-06-25,43.4113,43.4231
2024-06-26,43.2886,43.3044
2024-06-27,43.3812,43.4119
2024-06-28,43.3752,43.3844
2024-07-01,43.7472,43.7606
2024-07-02,43.8436,43.8703
2024-07-03,43.8478,43.8680
2024-07-04,43.7453,43.7508
2024-07-05,43.8994,43.9089
2024-07-08,44.1581,44.1635
2024-07-09,44.0185,44.0496
2024-07-10,44.1700,44.1754
2024-07-11,44.6190,44.6244
2024-07-12,44.5510,44.5891
2024-07-15,44.9084,44.9547
2024-07-16,44.9646,44.9794
2024-07-17,45.3681,45.3817
2024-07-18,45.4336,45.4443
2024-07-19,45.1673,45.1766
2024-07-22,45.0012,45.0105
2024-07-23,44.8430,44.8564
2024-07-24,44.7050,44.7469
2024-07-25,44.5606,44.5983
2024-07-26,44.5764,44.6225
2024-07-29,44.2576,44.3034
2024-07-30,44.2345,44.2587
2024-07-31,44.5662,44.5781
2024-08-01,44.4828,44.4921
2024-08-02,44.9627,44.9748
2024-08-05,45.1305,45.1442
2024-08-06,44.7788,44.7883
2024-08-07,44.6218,44.6723
2024-08-08,44.5741,44.6054
2024-08-09,44.9304,44.9631
2024-08-12,45.1326,45.1488
2024-08-13,45.3333,45.3428
2024-08-14,45.4806,45.4903
2024-08-15,45.1154,45.1470
2024-08-16,45.4190,45.4245
2024-08-19,45.7635,45.7690
2024-08-20,45.8734,45.9165
2024-08-21,45.9951,45.9967
2024-08-22,45.7769,45.8049
2024-08-23,45.8855,45.8954
2024-08-26,46.1813,46.1912
2024-08-27,46.1068,46.1155
2024-08-28,45.7604,45.7925
2024-08-29,45.5593,45.5872
2024-08-30,45.4198,45.4366
2024-09-02,45.6084,45.6181
2024-09-03,45.7233,45.7331
2024-09-04,45.5368,45.5466
2024-09-05,45.5845,45.5944
2024-09-06,45.3656,45.3935
2024-09-09,45.4527,45.4598
2024-09-10,45.3224,45.3321
2024-09-11,45.4520,45.4616
2024-09-12,45.6062,45.6117
2024-09-13,45.8860,45.8986
2024-09-16,46.1630,46.1770
2024-09-17,46.0939,46.1036
2024-09-18,46.1962,46.2061
2024-09-19,45.9573,45.9700
2024-09-20,46.0784,46.0841
2024-09-23,46.1240,46.1397
2024-09-24,46.0040,46.0180
2024-09-25,46.1298,46.1469
2024-09-26,45.8464,45.8481
2024-09-27,46.0345,46.0404
2024-09-30,45.9351,45.9745
2024-10-01,45.7065,45.7162
2024-10-02,45.5756,45.6033
2024-10-03,45.4544,45.4600
2024-10-04,45.1470,45.1566
2024-10-07,45.1689,45.1854
2024-10-08,45.1689,45.1799
2024-10-09,45.0990,45.1263
2024-10-10,45.0317,45.0563
2024-10-11,45.0099,45.0221
2024-10-14,44.9413,44.9835
2024-10-15,44.9506,44.9601
2024-10-16,44.8992,44.9130
2024-10-17,44.6157,44.6358
2024-10-18,44.7534,44.7736
2024-10-21,44.8551,44.8686
2024-10-22,44.5438,44.5814
2024-10-23,44.4659,44.4775
2024-10-24,44.5839,44.5932
2024-10-25,44.7609,44.7769
2024-10-28,44.8196,44.8288
2024-10-29,44.6421,44.6621
2024-10-30,44.7237,44.7289
2024-10-31,44.7776,44.8046
2024-11-01,44.8719,44.8771
2024-11-04,45.1711,45.2023
2024-11-05,45.2550,45.2638
2024-11-06,44.3461,44.3510
2024-11-07,44.6453,44.6586
2024-11-08,44.3159,44.3222
2024-11-11,44.0088,44.0135
2024-11-12,43.9792,43.9945
2024-11-13,43.7148,43.7277
2024-11-14,43.4866,43.5017
2024-11-15,43.5200,43.5287
2024-11-18,43.7069,43.7368
2024-11-19,43.6260,43.6347
2024-11-20,43.4678,43.4934
2024-11-21,43.4463,43.4467
2024-11-22,43.0641,43.0767
2024-11-25,43.5913,43.6303
2024-11-26,43.6673,43.6758
2024-11-27,43.9696,43.9699
2024-11-28,43.8921,43.8924
2024-11-29,43.9046,43.9091
2024-12-02,43.6849,43.6933
2024-12-03,43.8598,43.8642
2024-12-04,43.7073,43.7326
2024-12-05,43.9240,43.9455
2024-12-06,43.8094,43.8140
2024-12-09,43.9682,43.9769
2024-12-10,43.8493,43.8578
2024-12-11,43.7806,43.8206
2024-12-12,43.7465,43.7509
2024-12-13,43.7652,43.7695
2024-12-16,43.8000,43.8050
2024-12-17,43.9907,44.0306
2024-12-18,44.0611,44.0695
2024-12-19,43.5198,43.5238
2024-12-20,43.6456,43.6538
2024-12-23,43.6901,43.6983
2024-12-24,43.6261,43.6301
2024-12-25,43.5848,43.6140
2024-12-26,43.5449,43.5552
2024-12-27,43.7516,43.7703
2024-12-30,43.7770,43.7998
